rxnid	ecnum	substrates	products
27938	2.5.1.28	1042 30 	10 18860 
27990	1.2.1.3	245 7461 13 	9059 184 
28002	3.1.1.17	13 48317 	4 48318 
28011	1.8.1.7	1770 286 	4 233 48333 
28043		48375 13 	48376 3005 
28126		48507 13 	115 647 
28160	1.2.1.22	245 13 623 	290 4 184 
28226	3.6.1.1	10 13 	115 4 
28235	2.3.1.224	48664 186 	48665 172 
28271	6.3.1.1	4736 7 217 	4 9 10 4735 
28294	4.1.99.-	3663 	849 47700 
28297	1.14.13.70	4 233 75 48767 	48768 13 286 
28371	6.1.1.16	7 20248 	9 10 
28438	6.4.1.3	5120 3569 8229 	115 48980 20441 
28441		1200 1816 	48989 
28479	2.3.1.94	4 49048 233 249 	21 49049 172 13 286 
28513	4.1.3.16	49103 	419 170 
28575	4.2.1.76	31532 	49201 13 
28613	1.6.1.1	2386 	2386 
28744		49461 	49462 
28867	2.7.1.31	645 7 	1392 4 45 
28991	1.4.3.2	41783 75 13 	4 48375 217 121 
29198	1.5.1.12	8309 50134 13 	50135 1054 
29260	1.16.9.1	18170 	259 
29334		18170 	18170 
29370	5.3.1.6	6474 	1798 
29374	1.14.11.23	75 50412 382 	21 39560 72 13 
29430	4.1.1.83	4 50491 	21 125 
29441	2.3.3.9	3296 419 13 	4 5924 172 
29482	1.1.1.301	245 50574 	4 184 12094 
29514	2.7.2.4	7 7626 	50617 45 
29592		50743 13 	1200 849 4 
29676	1.1.1.-	48088 286 	4 50872 233 
29680	1.14.11.-	75 382 50879 	50880 21 72 
29683	5.3.1.4	50883 50884 	29049 
29695	2.7.7.30	50899 4 5290 	7364 10 
29869	3.1.3.12	51169 13 	51170 115 
29908	3.6.3.44	51236 7 13 	115 51236 45 
29998	3.5.1.4	16098 13 	217 28045 
30023	2.8.3.10	31712 	53 
30024	6.3.4.5	7 51401 7626 	4 9 10 51402 
30056		0 51455 	4 5 39772 
30151	3.2.1.-	51604 13 	51605 271 
30212	1.1.1.91	4 233 40364 	19978 286 
30225		3092 1561 	3194 170 
30246		51770 	51771 
30255	1.1.1.-	51785 286 	4 233 51786 
30353		51922 186 	51923 4 172 
30377		51962 	51962 
30405	2.4.2.18	10 52015 	52016 7157 
30507	3.2.1.52	13 	2685 52175 
30527	3.6.3.14	4 7 13 	115 4 45 
30559		120 13 52255 	52256 21 
30610		271 	271 
30641		85 52375 	52376 
30670	1.1.1.-	52421 286 	4 52422 233 
30677	1.17.4.2	4576 13 	7 
30752	6.1.1.15	401 4 7 	9 10 
30760	1.8.3.-	75 13 52559 	52560 121 
30851	4.2.1.9	52699 	337 13 
30905	2.1.1.-	0 33832 52782 52783 	52784 126 52783 127 
30911	3.5.99.4	52796 13 	52797 52798 
30926		20880 1561 	37428 170 
30947		3569 1811 	3569 1811 
30959	4.2.1.18	52861 	31234 13 
31041	3.5.1.1	13 53005 	45761 4 217 
31097	1.16.1.7	18170 1054 	259 4 245 
31207	2.1.2.1	4 5963 23647 	55 13 53277 
31333	2.7.4.8	5765 13358 	5769 
31347	1.5.1.12	403 245 13 	4 342 1054 
31427	3.1.1.25	53628 13 	4 53629 
31465	1.1.1.245	245 53679 	53680 1054 
31479	2.7.4.6	756 7 	131 45 
31528	1.2.1.7	13 286 1055 	4 233 3453 
31538	2.7.1.130	7 53789 	4 45 53790 
31580	2.1.1.-	0 53850 	4 5 53851 
31586		4 38814 	4 38814 
31674	2.6.1.37	170 53998 	620 53999 
31694		54025 12459 	54025 12459 
31735	1.4.3.2	563 75 13 	48375 120 121 
31754		1657 75 	4 54123 
31870		13 54303 	54304 342 
31953	2.7.7.67	131 4 1229 	54423 10 
32107	2.7.2.8	26051 7 	54658 45 
32124		401 55 	401 55 
32159		784 42184 	784 42184 
32313	2.5.1.-	66 54968 	54969 10 
32640	5.2.1.1	85 	85 
32674		39589 13 	4 886 8541 
32694	6.3.5.10	738 2534 30599 7 13 	738 115 342 45 10190 
32779	1.14.13.-	4 233 75 55695 	55696 21 13 286 
32839	[6.3.1.9, 6.3.1.8]	7 1015 25705 	115 4 55800 45 
32872	4.3.2.2	55846 	5121 9883 
32884	2.1.1.14	24708 32458 	32459 127 
32952	6.2.1.12	55958 7 172 	4 55959 9 10 
33030	2.7.4.21	56081 4 7 	56082 45 
33050	4.4.1.-	1015 56105 13 	4 56106 172 
33129	3.6.3.30	7 18170 13 	115 4 18170 45 
33203		522 	522 
33206	2.3.1.16	56337 186 	56338 172 
33207		56339 184 75 	56340 245 27 
33209		56342 	56343 
33228	1.2.1.41	15889 115 286 	29344 233 
33252	2.7.7.12	24140 31532 	145 17762 
33289	1.2.1.9	12096 2386 13 	2386 4 645 
33366	1.14.13.-	4 184 56586 75 	245 56587 13 
33380	2.7.1.6	7 1007 	4 24140 45 
33556	4.2.1.-	56877 	13 56878 
33562	1.14.13.84	56884 233 75 	50491 13 286 
33606	5.3.99.6	56948 	56949 
33664	2.4.1.298	57031 602 	4 57032 559 
33728	1.2.1.12	115 932 245 	19602 184 
33787		7055 	7055 
33802		32626 57245 	32626 57245 
